Lat,Lon,Original_ID,ordercode,serialno,floor,Service_Time,Freq,Address,Depot_Raw,Node_ID,Order_Count,Nearest_Anchor,Anchor_Type,Anchor_Distance_km,Cluster_ID,Travel_Time,Total_Time
25.01951,121.25541,72341 鈜基-勝淮大新段,RT20250000013062,1415,1,8.0,1x,桃園市蘆竹區大興路213號旁,5A-平鎮倉,N_1292,1,國1-中壢,N1,4.78887095201971,12,6.752653753539048,14.752653753539047
25.01955,121.20886,76053 三石營造-大園,RT202500003259,1440,1,8.0,1x,桃園市大園區永園路二段183巷113號,5A-平鎮倉,N_1293,1,國1-中壢,N1,4.781941421924129,0,8.068728941376968,16.068728941376968
25.01965,121.21202,75611 興億營造-永園路,RT202500002230,1440,1,8.0,1x,桃園市大園區永園路二段136號旁,5A-平鎮倉,N_1294,1,國1-中壢,N1,4.612388540246456,12,6.352808558201754,14.352808558201755
25.01966,121.21234,74981 山榆建設-大園,RT20240000013806,1440,1,8.0,1x,桃園市大園區永園路二段152號隔壁,5A-平鎮倉,N_1295,1,國1-中壢,N1,4.596351709022653,12,6.324138374542619,14.324138374542619
25.01969,121.20812,78438 騰暘營造有限公司,RT20250000014207,1440,1,8.0,1x,桃園市大園區永園路二段183巷113號-附地標,5A-平鎮倉,N_1296,1,國1-中壢,N1,4.83962937545012,0,8.124141489724687,16.124141489724686
25.01982,121.21131,76639 鋼鐵仁-同#76640,RT202500006152,1440,1,8.0,1x,桃園市中壢區(近大園)春德路107號對面(新光影城對面-右),5A-平鎮倉,N_1297,1,國1-中壢,N1,4.667289237745656,12,6.390381916328024,14.390381916328025
25.01986,121.20898,77389 謙平營造-青埔段70地號,RT202500009654,1440,1,8.0,1x,桃園市大園區永園路二段183巷與君悅別墅交叉口(青埔段70地號)-大園重劃區-附地標,5A-平鎮倉,N_1298,1,國1-中壢,N1,4.803865993234885,0,8.113415325277282,16.11341532527728
25.01986,121.47395,70699 智己行銷-太和,RT20250000013688,1190,1,8.0,1x,新北市板橋區太和街4巷3號,5D-五股倉,N_1299,1,台64-板橋,TH64,0.736977309080265,11,5.940700528909284,13.940700528909284
25.02003,121.22634,72960 陽明-鼎藏青溪,RT202400005487,1440,1,8.0,1x,桃園市大園區五福路256號旁工地,5A-平鎮倉,N_1300,1,國1-中壢,N1,4.132404861481563,12,5.456910376555659,13.456910376555658
25.02008,121.22664,72960 陽明營造-鼎藏青溪,RT20240000012249,1440,1,8.0,1x,桃園市大園區五福路256號旁工地,5A-平鎮倉,N_1301,1,國1-中壢,N1,4.132923321693327,12,5.440824792593352,13.440824792593352
25.0201,121.2079,76017 謙平營造-八股路,RT202500003133,1440,1,8.0,1x,"桃園市蘆竹區(大園區)八股路224巷25°03'28.5""N 121°15'09.0""E",5A-平鎮倉,N_1302,1,國1-中壢,N1,4.8910776769785445,0,8.19984925733909,16.19984925733909
25.02011,121.20868,77411 子紳營造-青埔段43地號-2/2,RT202500009788,1440,1,8.0,1x,桃園市大園區青埔段43地號-大園重劃區-附地標,5A-平鎮倉,N_1303,1,國1-中壢,N1,4.845112640027474,12,6.593370861070156,14.593370861070156
25.02011,121.21176,76802 宏福-141地號,RT202500006979,1440,1,8.0,1x,桃園市大園區興德路67號附近-地號141,5A-平鎮倉,N_1304,1,國1-中壢,N1,4.671036364148301,12,6.309850991914426,14.309850991914427
25.02012,121.21172,78137 錦信土木-青埔段149地號,RT20250000012964,1440,1,8.0,1x,桃園市大園區中山南路2段501巷11號-靠近永園路二段,5A-平鎮倉,N_1305,1,國1-中壢,N1,4.674150449477923,12,6.311931098285794,14.311931098285793
25.02023,121.21108,75216 謙平營造-航空城-1/9,RT20250000014020,1440,1,8.0,1x,桃園市大園區永園路二段183巷-青埔段131-132地號,5A-平鎮倉,N_1306,1,國1-中壢,N1,4.719470526650153,12,6.353141277597432,14.353141277597432
25.02025,121.21201,77390 子紳營造-青埔段153地號,RT202500009655,1440,1,8.0,1x,桃園市大園區青埔段153地號-大園重劃區-附地標,5A-平鎮倉,N_1307,1,國1-中壢,N1,4.671382449769375,12,6.26821120561594,14.268211205615941
25.02029,121.20879,76083 前衛營造-大園,RT202500003548,1440,1,16.0,1x,桃園市大園區永園路二段183巷113號旁,5A-平鎮倉,N_1308,2,國1-中壢,N1,4.855498233320521,12,6.558334162724896,22.558334162724897
25.02035,121.40978,73972 威騰營造-萬壽路,RT202400009518,1195,1,8.0,1x,桃園市龜山區(新莊區)萬壽路一段45號,5D-五股倉,N_1309,1,台65-新莊,TH65,4.852520606986582,1,11.504504871196252,19.504504871196254
25.02037,121.20906,78143 嘉銓營造-青埔段75地號,RT20250000012999,1440,1,8.0,1x,桃園市大園區永園路二段183巷141號附近,5A-平鎮倉,N_1310,1,國1-中壢,N1,4.847179281879194,12,6.521467459962931,14.521467459962931
25.02043,121.21211,76229 統詣營造-大園,RT202500004100,1440,1,8.0,1x,桃園市大園區永園路二段183巷11號,5A-平鎮倉,N_1311,1,國1-中壢,N1,4.683707861434034,12,6.233956440867817,14.233956440867818
25.02049,121.20839,76594 正悅投資,RT202500005861,1440,1,8.0,1x,"桃園市大園區永園路二段183巷25°01'15.9""N 121°12'31.1""E",5A-平鎮倉,N_1312,1,國1-中壢,N1,4.897974002194966,12,6.570262801938476,14.570262801938476
25.02088,121.09527,76400 良相建設-觀音,RT202500005081,1450,1,8.0,1x,桃園市觀音區文化路坑尾段339巷88弄78號旁,5A-平鎮倉,N_1313,1,台61-觀音,TH61,4.743429144192413,9,6.950270030915002,14.950270030915002
25.02108,121.22366,73403 杰運汽車,RT202400007154,1438,1,8.0,1x,桃園市中壢區(大園區)高鐵北路二段208號,5A-平鎮倉,N_1314,1,國1-中壢,N1,4.302041130946907,12,5.377043676652687,13.377043676652686
25.02121,121.26569,74667 凱玥建設-大竹段,RT20250000011820,1415,1,8.0,1x,桃園市蘆竹區上竹路&上竹三街交叉口,5A-平鎮倉,N_1315,1,國1-桃園,N1,4.001959031799307,10,8.924416489560219,16.92441648956022
25.02136,121.24033,75284 國灝建設-大園,RT20240000015150,1440,1,8.0,1x,桃園市大園區合圳北路三段&大新路交叉口,5A-平鎮倉,N_1316,1,國1-中壢,N1,4.329971592084566,12,5.362338074050596,13.362338074050596
25.02139,121.41107,70930 傳家公寓大廈管理委員會,RT20250000011600,1195,1,8.0,1x,新北市新莊區(近泰山區 )中正路905號,5D-五股倉,N_1317,1,台65-新莊,TH65,4.66887731320194,1,11.397162676584337,19.397162676584337
